timestamp_us,ax,ay,az,qw,qx,qy,qz,vx,vy,px,py
1776792.7484695083,-4.14,3.14,12.3,0.0,-4.14,3.14,12.3,0.06736751668853684,0.05903976497473211,0.0038127619821862776,0.007321712071686869
1776792.7487241558,-1.88,-2.84,18.16,0.0,-1.88,-2.84,18.16,0.06688877925043923,0.05831656586611656,0.0038297950475138474,0.007336562243676972
1776792.748896166,-2.64,-2.37,8.7,0.0,-2.64,-2.37,8.7,0.06643467243527991,0.05790890179341671,0.0038412224859667786,0.007346523162981056
1776792.749026846,2.95,0.46,3.64,0.0,2.95,0.46,3.64,0.06682017821120095,0.05796901455847559,0.0038499545417798268,0.007354098549400292
1776792.7490408865,-4.21,4.67,9.96,0.0,-4.21,4.67,9.96,0.066761067204643,0.05803458424983559,0.003850891908497487,0.007354913390894396
1776792.7490687205,-1.34,-0.57,8.66,0.0,-1.34,-0.57,8.66,0.06672376968199384,0.05801871888572363,0.0038527490960429734,0.007356528282298662
1776792.749100775,-1.27,-3.37,6.05,0.0,-1.27,-3.37,6.05,0.06668306047562507,0.057910695243626964,0.0038548865877517952,0.007358384580285774
1776792.749158699,-1.8,2.53,12.26,0.0,-1.8,2.53,12.26,0.06657879714388398,0.058057243148796386,0.003858743102870426,0.007361747492287105
1776792.7492537866,2.11,3.56,11.84,0.0,2.11,3.56,11.84,0.06677943191491066,0.05839575489517314,0.0038650929967242362,0.007367300202672092
1776792.7495594423,-1.11,-1.8,9.2,0.0,-1.11,-1.8,9.2,0.06644015414873136,0.05784557473380131,0.0038854008049081907,0.007384981029139697
1776792.7497790547,0.77,0.69,3.18,0.0,0.77,0.69,3.18,0.06660925568314267,0.05799710727762443,0.0039000290222354827,0.007397717912038481
1776792.7499385977,2.45,0.8,6.51,0.0,2.45,0.8,6.51,0.06700013605179263,0.05812474168371421,0.003910718425451615,0.007406991308143385
1776792.7500247457,-1.84,-1.3,14.67,0.0,-1.84,-1.3,14.67,0.06684162366436792,0.05801274923607719,0.0039164767000963874,0.007411988992590385
1776792.7501806042,-0.11,-1.34,6.66,0.0,-0.11,-1.34,6.66,0.06682447923347352,0.057803898896090805,0.003926891860698868,0.0074209982194090324
1776792.7503019671,0.0,0.23,5.52,0.0,0.0,0.23,5.52,0.06682447923347352,0.05783181237988186,0.0039350018781681255,0.007428016860093698
1776792.7503023248,3.41,0.69,7.97,0.0,3.41,0.69,7.97,0.06682569874450563,0.05783205914311123,0.003935025776900338,0.0074280375424497485
1776792.750480883,0.19,-0.23,16.47,0.0,0.19,-0.23,16.47,0.06685962481889872,0.057790990737266956,0.003946964116929287,0.007438356602718186
1776792.7505460163,1.38,-1.72,5.56,0.0,0.88,-0.54,7.66,0.061337821077890674,0.06791788113806409,0.003950959246012905,0.007442780312225047
1776792.750834621,1.0,-0.11,12.98,0.0,1.0,-0.11,12.98,0.06162642583657055,0.06788613461460931,0.003968744925769771,0.0074623725737232045
1776792.7508714779,0.92,-0.69,11.68,0.0,0.92,-0.69,11.68,0.06166033414598553,0.06786070338254807,0.003971017531953307,0.0074648737060356105
1776792.7508728583,0.3,-0.15,7.43,0.0,0.3,-0.15,7.43,0.0616607482818514,0.06786049631461513,0.0039711026517112395,0.007464967384253608
1776792.7508730956,0.34,-0.57,11.03,0.0,0.34,-0.57,11.03,0.0616608289483562,0.06786036107959238,0.003971117281015811,0.007464983484424616
1776792.7508733002,0.88,0.04,10.73,0.0,0.88,0.04,10.73,0.06166100904751568,0.06786036926591782,0.003971129900442972,0.007464997372601283
1776792.750873493,0.54,0.08,7.82,0.0,0.54,0.08,7.82,0.06166111315075307,0.06786038468861966,0.00397114178770501,0.007465010454982277
